Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
[01] He Who Fights with Monsters,_Uncataloged\[01] He Who Fights with Monsters,802.8,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon, Travis Deverell",1774248182,He Who Fights with Monsters #1
[11] He Who Fights with Monsters 11,_Uncataloged\[11] He Who Fights with Monsters 11,730.4,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon, Travis Deverell",B0D1DPR1X3,He Who Fights with Monsters #11
Stephen Fry - Paperweight Vol 1,_Uncataloged\Stephen Fry - Paperweight Vol 1,157.33,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Paperweight Volume 1,Stephen Fry,,Stephen Fry - Paperweight
Stephen Fry - Paperweight Vol 2,_Uncataloged\Stephen Fry - Paperweight Vol 2,162.79,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Paperweight Volume 2,Stephen Fry,,Stephen Fry - Paperweight
(audiobook) Stephen Hawking - A Brief History of Time,_Uncataloged\(audiobook) Stephen Hawking - A Brief History of Time,79.93,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Summary of A Brief History of Time,Stephen Hawking,B0CCFXFMYH,(audiobook) Stephen Hawking - A Brief History of Time
Stephen King - Complete Bachman Books - 7 Audiobooks In Proper Order [JabbaJr],_Uncataloged\Stephen King - Complete Bachman Books - 7 Audiobooks In Proper Order [JabbaJr],1147.52,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,A Longa Marcha [The Long Walk],"Stephen King, Richard Bachman, Regiane Winarski - translator",B0D6CR7V2B,From_Drive_I
Stephen_King-Lida-AUDIOBOOK-SE-2005-CTA,_Uncataloged\Stephen_King-Lida-AUDIOBOOK-SE-2005-CTA,308.1,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Falling Star,A. G. Mogan,B0FXF5D82J,From_Drive_I
Stephen_King_-_Signal-2006-DAISY-AUDIOBOOK-SE-2007-LzY,_Uncataloged\Stephen_King_-_Signal-2006-DAISY-AUDIOBOOK-SE-2007-LzY,263.17,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Signal: A Conspiratorium Novel,Linda Sanchez,B0GGV35VGH,The Redacted Series #2
The Stand by Stephen King,_Uncataloged\The Stand by Stephen King,454.38,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The End of the World As We Know It,"Stephen King - introduction, Christopher Golden - editor, Brian Keene - editor",B0DPJJM5NJ,The Stand - Stephen King (Audio Book)
Stephen King - Dark Tower 1 - The Gunslinger - Revised Edition,_Uncataloged\Stephen King - Dark Tower 1 - The Gunslinger - Revised Edition,202.19,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower I,Stephen King,B019NNU7XE,The Dark Tower #1
Stephen King - Dark Tower 2 - Drawing of the three,_Uncataloged\Stephen King - Dark Tower 2 - Drawing of the three,349.28,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower II,Stephen King,B019NNTLBS,The Dark Tower #2
Stephen King - Dark Tower 3 - The waist Lands,_Uncataloged\Stephen King - Dark Tower 3 - The waist Lands,500.84,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower III,Stephen King,B019NNT1G8,The Dark Tower #3
Stephen King - Dark Tower 4 - Wizard and Glass,_Uncataloged\Stephen King - Dark Tower 4 - Wizard and Glass,759.77,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower IV,Stephen King,B019NNX0G0,The Dark Tower #4
Stephen King - Dark Tower 7 - The Dark Tower,_Uncataloged\Stephen King - Dark Tower 7 - The Dark Tower,796.73,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,La Torre Oscura [The Dark Tower VII],"Stephen King, Verónica Canales Medina - translator",B0BXBL51K5,La Torre Oscura [The Dark Tower] #7
Stephen King - Dark Tower 2 - Drawing of the three_1,_Uncataloged\Stephen King - Dark Tower 2 - Drawing of the three_1,349.01,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower II,Stephen King,B019NNTLBS,The Dark Tower #2
Stephen King - Dark Tower 3 - The waist Lands_1,_Uncataloged\Stephen King - Dark Tower 3 - The waist Lands_1,500.55,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower III,Stephen King,B019NNT1G8,The Dark Tower #3
Stephen King - Dark Tower 4 - Wizard and Glass_1,_Uncataloged\Stephen King - Dark Tower 4 - Wizard and Glass_1,759.93,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dark Tower IV,Stephen King,B019NNX0G0,The Dark Tower #4
Stephanie Meyer - Twilight Saga (Book 1 of 3) - Twilight,_Uncataloged\Stephanie Meyer - Twilight Saga (Book 1 of 3) - Twilight,198.12,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Bis(s) zum Morgengrauen,Stephenie Meyer,B00TLTAWS6,Complete
