TargetFolder,Reason
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Fred, the Vampire Accountant\[06] Undeading Bells,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Arthur Conan Doyle; Stephen Fry - introductions (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Tower of Power Series\[01] Guild Master,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Tower of Power Series\[06] The Invasion,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - The Ultimates - Against All Enemies (Graphic Audio),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Various; Charlaine Harris - editor; Toni L. P. Kelner - editor,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Fred, the Vampire Accountant\[05] Deadly Assessments,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Tower of Power Series\[04] The Great Raid,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\David Estes\The Kingfall Histories\[02] Dragonfall,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Fred, the Vampire Accountant\[03] Bloody Acquisitions,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[07] The Bare Hunt,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[02] Iron Will,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[13] Demon City,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[14] Dwarf City,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[01] Stone Will,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Tower of Power Series\[02] The Goblin Horde,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Travis Beacham\Impact Winter\[02] Impact Winter Season 2,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Torsten Weitze; Tim Casey - translator\Torsten Weitze,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Death of Captain America - Larry Hama (GraphicAudio-256),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[04] Sea of Sand,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[10] Land of War,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charlaine Harris\Sookie Stackhouse\The Sookie Stackhouse Companion,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[10] Eat, Slay, Love,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[12] Wild Wild Quest,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[15] Dragon City,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Fred, the Vampire Accountant\[07] Out of House and Home,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[03] Dungeon Mauling,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Fred, the Vampire Accountant\[04] The Fangs of Freelance,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[09] Land of Pain,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[06] Home, Siege Home,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[13] Flex in the City,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Sarah Lin\Street Cultivation\[03] Street Cultivation 3,Reason: Empty Shell
